"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","320 GB                 (2 * 160 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","1680 GB                 (2 * 840 GB HDD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","EBS only","6.25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","470 GB                 NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","3360 GB                 (4 * 840 GB HDD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","240 GB                 (2 * 120 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","940 GB                 NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","240 GB                 (2 * 120 GB HDD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 6xlarge","x2iezn.6xlarge","768.0 GiB","24 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 24xlarge","vt1.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","3800 GB                 NVMe SSD","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","3800 GB                 NVMe SSD","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","400 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","EBS only","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
